,secID,ticker,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
145,300147.XSHE,300147,XSHE,香雪制药,2015-02-27,L,CNY,0.001809,0.001809,0
146,300148.XSHE,300148,XSHE,天舟文化,2015-02-27,L,CNY,0.021887,0.021887,0
147,300149.XSHE,300149,XSHE,量子生物,2015-02-27,L,CNY,-0.007247,-0.007247,0
148,300150.XSHE,300150,XSHE,世纪瑞尔,2015-02-27,L,CNY,0.015552,0.015552,0
149,300151.XSHE,300151,XSHE,昌红科技,2015-02-27,L,CNY,0.036402,0.036402,0
150,300152.XSHE,300152,XSHE,科融环境,2015-02-27,S,CNY,,,0
151,300153.XSHE,300153,XSHE,科泰电源,2015-02-27,L,CNY,0.082035,0.082035,0
152,300154.XSHE,300154,XSHE,瑞凌股份,2015-02-27,L,CNY,0.012939,0.012939,0
153,300155.XSHE,300155,XSHE,安居宝,2015-02-27,L,CNY,0.041325,0.041325,0
154,300156.XSHE,300156,XSHE,神雾环保,2015-02-27,L,CNY,0.013718,0.013718,0
155,300157.XSHE,300157,XSHE,恒泰艾普,2015-02-27,L,CNY,0.004636,0.004636,0
156,300158.XSHE,300158,XSHE,振东制药,2015-02-27,L,CNY,0.010578,0.010578,0
157,300159.XSHE,300159,XSHE,新研股份,2015-02-27,S,CNY,,,0
158,300160.XSHE,300160,XSHE,秀强股份,2015-02-27,L,CNY,0.022819,0.022819,0
159,300161.XSHE,300161,XSHE,华中数控,2015-02-27,L,CNY,0.042452,0.042452,0
160,300162.XSHE,300162,XSHE,雷曼光电,2015-02-27,L,CNY,0.055747,0.055747,0
161,300163.XSHE,300163,XSHE,先锋新材,2015-02-27,L,CNY,0.01528,0.01528,0
162,300164.XSHE,300164,XSHE,通源石油,2015-02-27,L,CNY,0.002747,0.002747,0
163,300165.XSHE,300165,XSHE,天瑞仪器,2015-02-27,L,CNY,0.027014,0.027014,0
164,300166.XSHE,300166,XSHE,东方国信,2015-02-27,L,CNY,0.029034,0.029034,0
165,300167.XSHE,300167,XSHE,迪威迅,2015-02-27,L,CNY,0.030379,0.030379,0
166,300168.XSHE,300168,XSHE,万达信息,2015-02-27,S,CNY,,,0
167,300169.XSHE,300169,XSHE,天晟新材,2015-02-27,L,CNY,0.044397,0.044397,0
168,300170.XSHE,300170,XSHE,汉得信息,2015-02-27,L,CNY,0.100145,0.100145,0
169,300171.XSHE,300171,XSHE,东富龙,2015-02-27,L,CNY,0.007172,0.007172,0
170,300172.XSHE,300172,XSHE,中电环保,2015-02-27,L,CNY,0.009956,0.009956,0
171,300173.XSHE,300173,XSHE,智慧松德,2015-02-27,L,CNY,0.060153,0.060153,0
172,300174.XSHE,300174,XSHE,元力股份,2015-02-27,L,CNY,0.022979,0.022979,0
173,300175.XSHE,300175,XSHE,朗源股份,2015-02-27,S,CNY,,,0
