dailyReturnNoReinv,exchangeCD,ListSector,totalShares,nonrestFloatShares,nonrestfloatA,TShEquity,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio
1.0,1,1,949289000.0,949289000.0,949289000.0,18546256795.1,69.1829,5.2036,0.0966,58.8928,6.1128,24.3298,1.7568,0.0271,0.0538,0.5364,0.3535,0.0039,0.0036,0.4534
1.0,1,1,1893312100.0,1893312100.0,1893312100.0,13804844266.8,157.116,2.2913,0.0611,37.5983,9.5749,24.67,1.4182,0.0,-0.1377,0.2037,0.639,0.0108,0.0121,0.5555
1.0,1,1,1783340300.0,1783340300.0,1783340300.0,2435315768.35,39.8367,9.0369,0.0887,67.0092,5.3724,22.2912,0.9997,0.0,0.1419,0.3965,0.5838,0.0,0.0,0.4674
0.0,0,2,880200900.0,711552100.0,711552100.0,3599578653.37,258.6393,1.3919,0.0949,76.7918,4.688,22.8049,1.4741,0.0,0.0038,0.035,0.7586,0.0047,0.0033,0.2632
0.0,1,1,340000000.0,170000000.0,170000000.0,1654712730.98,27.6755,13.0079,0.0444,116.603,3.0874,21.897,1.3592,0.0,-0.0348,0.0937,0.6495,0.0043,0.0214,0.6753
1.0,1,1,989959900.0,989959900.0,989959900.0,769070815.26,84.1475,4.2782,0.0415,96.1641,3.7436,22.6401,3.6983,0.1802,-0.0007,0.2008,0.7961,0.0,0.0204,0.4093
0.0,0,1,1868545500.0,1868415700.0,1868415700.0,8890378881.03,321.3999,1.1201,0.0379,-107.4916,-3.3491,24.0381,2.0365,0.0,-0.2245,0.2391,0.3229,0.0257,0.0132,0.857
0.0,0,2,2574960800.0,1796527300.0,1796527300.0,9968007872.74,-167.8791,-2.1444,0.0506,154.3541,2.3323,23.4366,1.1476,0.0397,0.1129,0.2392,0.4278,0.0057,0.0038,0.4354
0.0,0,2,249503000.0,118508100.0,118508100.0,833027044.42,90.3252,3.9856,0.1101,146.2463,2.4616,21.0949,1.0602,0.0,0.0605,0.2785,0.6907,0.0189,0.0055,0.7703
0.0,0,2,358340800.0,246488700.0,246488700.0,2127336755.36,146.6634,2.4546,0.1164,264.8227,1.3594,21.7983,1.1727,0.0,0.267,0.5635,0.7016,0.0055,0.0032,0.4802
0.0,0,0,350113200.0,327238300.0,327238300.0,2486633083.25,62.144,5.792999999999999,0.0444,114.76299999999999,3.1369,22.0717,1.0259,0.0,-0.0514,0.3986,0.8629,0.0051,0.0055,0.7544
0.0,0,2,676072300.0,630448900.0,630448900.0,1723983717.71,131.9648,2.728,0.115,166.0134,2.1685,21.6734,1.0979999999999999,0.0,0.0239,0.4878,0.6731,0.0279,0.0074,0.5209
0.0,0,0,896692600.0,634265600.0,634265600.0,3577582949.56,139.3728,2.583,0.2734,150.3571,2.3943,22.1455,1.0197,0.0,0.19899999999999998,0.2673,0.4424,0.0024,0.0024,0.5377
0.0,0,2,542157300.0,508625400.0,508625400.0,3701743880.92,278.7025,1.2917,0.0831,104.6299,3.4407,22.8988,1.7337,0.0568,-0.1068,0.2184,0.5218,0.0055,0.0035,0.7193
0.0,0,1,1644636400.0,1642155200.0,1642155200.0,5738937684.16,130.5436,2.7577,0.1458,50.8561,7.0788,23.3949,1.1293,0.0421,-0.2249,0.184,0.5667,0.0,0.002,0.342
0.0,1,1,390002200.0,390002200.0,390002200.0,2156912704.4,102.3862,3.5161,0.0849,96.9331,3.7139,21.8696,1.2568,0.162,0.1108,2.7735,0.2823,0.0267,0.0195,0.7439
1.0,0,2,208308000.0,161888700.0,161888700.0,944035394.43,74.3925,4.8392,0.1643,89.1641,4.0375,21.1148,1.1076,0.0,0.0418,0.3645,0.9525,0.0056,0.0026,0.3862
0.0,1,1,556890800.0,543891100.0,543891100.0,3395743613.36,124.7228,2.8864,0.0959,42.5925,8.4522,23.2129,1.6106,0.0,-0.004,0.1613,0.4362,0.0,0.0037,0.5819
0.0,1,1,491999700.0,422794700.0,422794700.0,2392296336.02,150.9434,2.385,0.1224,245.7506,1.4649,21.6512,1.0168,0.0,-0.0895,0.7806,0.7271,0.0,0.0,0.7254
1.0,1,1,366346000.0,338044100.0,338044100.0,1533301882.52,54.8262,6.5662,0.0933,38.9181,9.2502,21.3182,1.1635,0.0,-0.047,0.1948,0.794,0.0,0.0042,0.3868
0.0,0,2,342863400.0,239610000.0,239610000.0,2248930659.18,66.1801,5.4397,0.1702,47.5719,7.5675,21.2974,1.0668,0.0,0.1408,0.6679999999999999,0.5922,0.006999999999999999,0.0014,0.539
1.0,0,2,620458300.0,382516700.0,382516700.0,4812944658.33,45.5679,7.9003,0.1253,123.2202,2.9216,22.7115,1.8333,0.1636,-0.0095,0.3129,0.5789,0.0013,0.0016,0.4532
0.0,0,2,337500000.0,336759700.0,336759700.0,1036649114.61,66.8996,5.3812,0.0866,227.1867,1.5846,21.4628,1.1035,0.0,0.1202,0.1971,0.9322,0.0028,0.0033,0.6737
0.0,0,0,1725120600.0,1688286500.0,1688286500.0,4187301811.0,93.4094,3.8539999999999996,0.0634,96.8575,3.7168,22.5133,1.1762,0.0,0.0731,0.3123,0.3501,0.0133,0.0075,0.4969
