ticker,monthBeginDate,chgPct
000636,2019-06-03,-0.02419355
000636,2019-05-06,-0.07806691
000636,2019-04-01,-0.13560411
000636,2019-03-01,0.11701364
000636,2019-02-01,0.3630137
000636,2019-01-02,-0.04841713
000681,2019-06-03,0.06542056
000681,2019-05-06,-0.1720528
000681,2019-04-01,-0.16654021
000681,2019-03-01,-0.00113679
000681,2019-02-01,0.14939024
000681,2019-01-02,-0.01543739
000685,2019-06-03,0.00826446
000685,2019-05-06,-0.01626016
000685,2019-04-01,-0.00577367
000685,2019-03-01,0.02002356
000685,2019-02-01,0.17753121
000685,2019-01-02,0.03
000686,2019-06-03,0.02800467
000686,2019-05-06,-0.12817904
000686,2019-04-01,-0.03438114
000686,2019-03-01,0.17146145
000686,2019-02-01,0.30873494
000686,2019-01-02,0.06070288
000690,2019-06-03,-0.05847953
000690,2019-05-06,-0.06429549
000690,2019-04-01,-0.10635697
000690,2019-03-01,0.11292517
000690,2019-02-01,0.1484375
000690,2019-01-02,-0.04903418
000712,2019-06-03,0.02884615
000712,2019-05-06,-0.09565217
000712,2019-04-01,-0.03563941
000712,2019-03-01,0.1312253
000712,2019-02-01,0.38100437
000712,2019-01-02,0.00881057
000717,2019-06-03,-0.0199115
000717,2019-05-06,-0.12572534
000717,2019-04-01,-0.09457093
000717,2019-03-01,-0.02226027
000717,2019-02-01,0.20164609
000717,2019-01-02,0.06813187
000718,2019-06-03,0.0
000718,2019-05-06,-0.10362694
000718,2019-04-01,-0.04926108
000718,2019-03-01,0.10626703
000718,2019-02-01,0.16878981
000718,2019-01-02,-0.01257862
000723,2019-06-03,-0.16666667
000723,2019-05-06,-0.17336849
000723,2019-04-01,0.64355363
000723,2019-03-01,0.80626223
000723,2019-02-01,0.22836538
000723,2019-01-02,0.29595016
000727,2019-06-03,-0.03240741
000727,2019-05-06,-0.08474576
000727,2019-04-01,-0.12915129
000727,2019-03-01,0.17826087
000727,2019-02-01,0.57534247
000727,2019-01-02,-0.00680272
000729,2019-06-03,-0.03206997
000729,2019-05-06,-0.0704607
000729,2019-04-01,0.15132605
000729,2019-03-01,0.0015625
000729,2019-02-01,0.07563025
000729,2019-01-02,0.05496454
000732,2019-06-03,0.06451613
000732,2019-05-06,-0.14694551
000732,2019-04-01,-0.0406547
000732,2019-03-01,0.23709993
000732,2019-02-01,0.13072378
000732,2019-01-02,-0.0342368
000738,2019-06-03,-0.04490378
000738,2019-05-06,-0.01057828
000738,2019-04-01,-0.08927425
000738,2019-03-01,0.07231405
000738,2019-02-01,0.19407895
000738,2019-01-02,0.00829187
000750,2019-06-03,0.0307377
000750,2019-05-06,-0.08785047
000750,2019-04-01,-0.13149351
000750,2019-03-01,0.09413854
000750,2019-02-01,0.23736264
000750,2019-01-02,0.04357798
000758,2019-06-03,-0.10440457
000758,2019-05-06,0.31827957
000758,2019-04-01,-0.0392562
000758,2019-03-01,0.01894737
000758,2019-02-01,0.30136986
000758,2019-01-02,0.0
000761,2019-06-03,-0.05286344
000761,2019-05-06,0.14646465
000761,2019-04-01,-0.06382979
000761,2019-03-01,0.11315789
000761,2019-02-01,0.14457831
000761,2019-01-02,-0.01190476
000766,2019-06-03,-0.06976744
000766,2019-05-06,-0.18867925
000766,2019-04-01,0.01693002
000766,2019-03-01,0.16425756
000766,2019-02-01,0.28330523
000766,2019-01-02,-0.13556851
000778,2019-06-03,0.00680272
000778,2019-05-06,-0.08316008
000778,2019-04-01,-0.06054688
000778,2019-03-01,0.04065041
000778,2019-02-01,0.14418605
000778,2019-01-02,-0.00232019
000807,2019-06-03,-0.02291667
000807,2019-05-06,-0.08396947
000807,2019-04-01,0.07377049
000807,2019-03-01,0.06318083
000807,2019-02-01,0.30028329
000807,2019-01-02,-0.09020619
000813,2019-06-03,-0.05223881
000813,2019-05-06,-0.20079523
000813,2019-04-01,-0.29254571
000813,2019-03-01,0.68085106
000813,2019-02-01,-0.06312292
000813,2019-01-02,-0.01633987
000826,2019-06-03,0.20306122
000826,2019-05-06,-0.12811388
000826,2019-04-01,-0.27437056
000826,2019-03-01,0.31271186
000826,2019-02-01,0.2826087
000826,2019-01-02,-0.11453321
000829,2019-06-03,0.01041667
000829,2019-05-06,-0.0557377
000829,2019-04-01,-0.07153729
000829,2019-03-01,0.07704918
000829,2019-02-01,0.31465517
000829,2019-01-02,-0.17290553
000830,2019-06-03,-0.07404255
000830,2019-05-06,-0.1754386
000830,2019-04-01,-0.01315789
000830,2019-03-01,0.09393939
000830,2019-02-01,0.12627986
000830,2019-01-02,0.19591837
000848,2019-06-03,-0.01768868
000848,2019-05-06,0.0
000848,2019-04-01,-0.05986696
000848,2019-03-01,0.04277457
000848,2019-02-01,0.11469072
000848,2019-01-02,-0.03482587
000860,2019-06-03,0.13228155
000860,2019-05-06,-0.28965517
000860,2019-04-01,-0.04337787
000860,2019-03-01,0.43536932
000860,2019-02-01,0.05864662
000860,2019-01-02,0.25117592
000869,2019-06-03,0.11373093
000869,2019-05-06,-0.02004757
000869,2019-04-01,-0.07944948
000869,2019-03-01,0.08520027
000869,2019-02-01,0.132206
000869,2019-01-02,0.00076923
000877,2019-06-03,0.11623439
000877,2019-05-06,-0.04495413
000877,2019-04-01,-0.07627119
000877,2019-03-01,0.29812981
000877,2019-02-01,0.14483627
000877,2019-01-02,0.11673699
000878,2019-06-03,0.04935834
000878,2019-05-06,-0.09310654
000878,2019-04-01,0.10594059
000878,2019-03-01,-0.01174168
000878,2019-02-01,0.24786325
000878,2019-01-02,0.03278689
000883,2019-06-03,0.06372549
000883,2019-05-06,0.01745636
000883,2019-04-01,-0.04295943
000883,2019-03-01,0.02444988
000883,2019-02-01,0.10242588
000883,2019-01-02,0.01089918
000887,2019-06-03,0.0
000887,2019-05-06,-0.16244541
000887,2019-04-01,-0.07512116
000887,2019-03-01,0.04296546
000887,2019-02-01,0.26276596
000887,2019-01-02,-0.07114625
000926,2019-06-03,0.00581395
000926,2019-05-06,-0.0802139
000926,2019-04-01,-0.04102564
000926,2019-03-01,0.09090909
000926,2019-02-01,0.144
