ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000009,-0.0628655,2016-06-01,20936212310.0,20450351370.0,27.4189,4.6866,0.0196,101.5442,0.2118,17977522.7266,0.194,61.5981,0.1862,37.5477,19.2793,27.7226,12.5455,0.5386,0.0414,0.06864275
000009,-0.00364166,2016-05-03,22544240784.0,22021062768.0,29.5248,5.0465,0.0182,109.3434,0.2118,23060340.6765,-0.1528,44.6761,0.1862,20.9016,17.2073,13.8238,9.7597,0.6413,0.0269,-0.0628655
000009,0.25045537,2016-04-01,21334239160.0,20839141320.0,27.9401,4.7757,0.0192,253.762,0.1983,19257353.494,0.2634,71.1553,0.2045,25.9872,18.0463,30.824,4.8872,0.6534,0.0517,-0.00364166
000009,-0.07341772,2016-03-01,18118182212.0,16952434358.0,22.9632,4.0513,0.0226,215.5083,0.1983,14510624.7194,0.0032,43.5725,0.2045,12.0337,34.9939,30.5021,-65.2306,0.688,0.0436,0.25045537
000009,-0.34020045,2016-02-01,18786867320.0,17578095380.0,23.8107,4.2009,0.0218,223.4621,0.1983,14026971.1441,-0.0246,38.376,0.2045,11.1613,32.7274,58.4578,-31.1408,0.7193,0.0421,-0.07341772
000009,-0.102,2016-01-04,25728455584.0,24073052656.0,32.6085,5.753,0.0159,306.0294,0.1983,27028853.6314,-0.3732,35.3728,0.2045,14.9895,39.8749,24.423,-74.4371,0.6338,0.0407,-0.34020045
000012,-0.04897959,2019-06-03,13085176804.0,8122089625.0,30.7329,1.4159,0.059,5.9304,0.0676,1461096.0587,0.0462,32.8358,0.048,15.0035,14.9966,18.9117,2.1541,0.7447,0.0053,-0.10729614
000012,-0.11552347,2019-05-06,13228340664.0,8210952750.0,31.0691,1.4313,0.0584,5.9952,0.0676,2214180.1403,-0.2186,21.875,0.048,3.7628,49.7127,54.4613,-19.5711,0.6993,0.005,-0.04897959
000012,0.02255639,2019-02-01,11882600380.0,7366674960.0,20.3646,1.3267,0.0937,5.7359,0.0717,8402617.4349,0.0044,47.9452,0.0681,32.2023,22.7778,29.5973,-0.1741,0.6665,0.0196,0.20833333
000012,-0.05,2019-01-02,11395843256.0,7064907552.0,19.5304,1.2724,0.0978,5.5009,0.0717,1279960.9862,-0.031,11.4286,0.0681,14.0673,22.9303,31.7491,-2.6345,0.6886,0.0045,0.02255639
000012,0.00238663,2018-12-03,12455255820.0,7550801340.0,21.346,1.3907,0.0711,6.0123,0.0717,4921244.9327,-0.0134,44.9541,0.0681,28.563,21.3182,22.1129,-0.0068,0.6384,0.0031,-0.05
000012,-0.14489796,2018-11-01,11997131468.0,7273070716.0,20.5609,1.3395,0.0737,5.7912,0.0717,1957901.8356,0.0614,67.4419,0.0681,20.5386,23.2929,31.246,3.3861,0.6785,0.0065,0.00238663
000012,0.01871102,2018-10-08,13571933928.0,8227769736.0,17.284,1.5442,0.0652,6.1464,0.0839,2960685.912,-0.007,46.9697,0.0936,16.5907,37.1387,32.5159,-4.511,0.6217,0.0045,-0.14489796
000012,-0.05500982,2018-09-03,14198144912.0,8627007508.0,18.0814,1.6154,0.0624,6.43,0.0839,2015592.9764,0.0008,53.7037,0.0936,23.2279,22.7116,19.7254,1.4177,0.642,0.0037,0.01871102
000012,0.02828283,2018-08-01,14369551088.0,8731143917.0,17.6391,1.6586,0.0629,6.8829,0.0815,4704586.4059,0.0964,58.1081,0.0991,32.8597,11.5752,39.1867,-0.6578,0.6631,0.0043,-0.05500982
000012,-0.04249668,2018-05-02,17612606484.0,10701670106.0,21.6201,2.0329,0.0629,8.4362,0.0815,1132582.9701,0.0158,36.3541,0.0991,7.3886,31.8031,38.0197,-7.0587,0.648,0.0045,-0.05825243
000012,-0.05757196,2018-04-02,18755314380.0,11395995670.0,23.6263,2.2473,0.0589,7.6969,0.0529,4139383.0187,-0.0414,26.0723,0.0997,20.8058,31.8918,33.7709,3.548,0.6475,0.0048,-0.04249668
000012,-0.0837156,2018-03-01,19873180800.0,12075227200.0,25.0344,2.3813,0.0556,8.1556,0.0529,4063714.0152,0.0344,57.3599,0.0997,13.5094,22.6334,35.7364,4.7447,0.6165,0.0086,-0.05757196
000012,0.03195266,2018-02-01,20742632460.0,12603518390.0,26.1297,2.4855,0.0511,8.5124,0.0529,11090927.4315,-0.1194,36.3636,0.0997,13.7116,31.2446,34.2565,-17.2572,0.5725,0.0098,-0.0837156
000012,-0.08052231,2018-01-02,21413352312.0,13011057308.0,26.9746,2.5658,0.0495,8.7877,0.0529,10510651.0017,0.0238,45.8564,0.0997,27.3097,19.7304,34.2816,4.3717,0.5452,0.0226,0.03195266
000012,0.10990338,2017-12-01,21742253049.0,13620798280.0,27.3889,2.6052,0.0414,8.9226,0.0529,15078033.4141,0.0478,54.6638,0.0997,24.2276,15.7831,25.6675,0.5147,0.5246,0.0162,-0.08052231
000012,-0.0060024,2017-11-01,19689746175.0,12334971000.0,24.8034,2.3593,0.0452,8.0803,0.0529,3094877.438,0.0136,47.363,0.0997,20.2239,21.3129,18.7745,1.7456,0.5123,0.03,0.10990338
000012,-0.03252033,2017-10-09,20071607919.0,12574194680.0,27.7297,2.4831,0.0441,9.0657,0.0539,4372731.1451,-0.0734,22.3738,0.092,18.7894,20.866,25.443,-4.9389,0.5102,0.0058,-0.0060024
000012,-0.0023175,2017-09-01,20453469663.0,12813418360.0,28.2573,2.5303,0.0433,9.2382,0.0539,4260239.9575,-0.0156,56.0372,0.092,17.986,12.0112,32.782,2.0498,0.5645,0.0111,-0.03252033
000012,-0.0750268,2017-08-01,20381870586.0,12768563920.0,26.7122,2.5538,0.0569,8.6478,0.0284,12927816.2955,-0.0082,49.74,0.0967,22.8945,12.172,34.8972,2.0915,0.7312,0.0117,-0.0023175
000012,0.05067568,2017-07-03,19466647928.0,12195207206.0,25.5127,2.4392,0.0595,8.2595,0.0284,3879614.6472,0.0982,58.8608,0.0967,24.0523,9.1162,30.6849,5.9758,0.761,0.0144,-0.0750268
000012,-0.10843373,2017-06-01,17972406296.0,11259114542.0,23.5544,2.2519,0.0645,7.6255,0.0284,1707169.0009,0.0234,32.9433,0.0967,10.2137,39.8382,61.2142,-14.6268,0.6943,0.0072,0.05067568
