ticker,date,pred
0.00552486,20190603,[-0.01581865]
-0.09612984,20190506,[-0.01988523]
-0.00988875,20190401,[-0.01606878]
0.00872818,20190301,[-0.02758973]
0.11699164,20190201,[-0.01344157]
-0.07354839,20190102,[-0.03230075]
0.00632111,20190603,[-0.0104119]
-0.11123596,20190506,[-0.02336945]
-0.02305159,20190401,[-0.00776671]
0.03405221,20190301,[-0.02472319]
0.22873082,20190201,[-0.00890133]
0.01702128,20190102,[-0.01255924]
0.1511772,20190603,[0.07307798]
-0.0472255,20190506,[-0.01184048]
-0.12409514,20190401,[0.01900996]
0.16086435,20190301,[0.00991622]
0.19683908,20190201,[0.01201549]
-0.04526749,20190102,[-0.00341231]
0.04377104,20190603,[0.00177083]
-0.51338067,20190506,[-0.02622869]
0.11036992,20190401,[-0.00164646]
0.01103617,20190301,[-0.02513493]
0.15346535,20190201,[-0.00495922]
0.10555121,20190102,[-0.01285768]
0.04074074,20190603,[-0.04835446]
-0.09698997,20190506,[-0.04392536]
0.04454148,20190401,[-0.05304252]
0.08018868,20190301,[-0.05474383]
0.14718615,20190201,[-0.05175881]
0.2287234,20190102,[-0.03140737]
0.01051402,20190603,[-0.00952543]
-0.09129512,20190506,[-0.01926218]
0.03402854,20190401,[-0.01418349]
0.07429245,20190301,[-0.01942632]
0.13672922,20190201,[-0.01036868]
0.04189944,20190102,[-0.0108562]
-0.03747535,20190603,[-0.02843967]
-0.0019684999999999998,20190506,[-0.02801516]
0.02419355,20190401,[-0.02667252]
0.02479339,20190301,[-0.02331307]
0.15101070000000003,20190201,[-0.03046301]
0.16320885,20190102,[-0.02526151]
0.0046729,20190401,[-0.03473097]
0.3875969,20190201,[0.02167803]
-0.12244898,20190102,[0.00638922]
0.03630862,20190603,[-0.01185628]
-0.05028736,20190506,[-0.01396854]
-0.04657534,20190401,[-0.02565346]
0.10606061,20190301,[-0.02646824]
0.25475285,20190201,[-0.00810977]
-0.06238859,20190102,[-0.01774616]
0.22655298,20190603,[0.03795589]
0.04987212,20190506,[0.01110452]
-0.08108108,20190401,[-0.00315177]
0.01551313,20190301,[0.01231153]
0.10263158,20190201,[0.01358575]
-0.03184713,20190102,[0.00221395]
-0.18968872,20190603,[-0.02100063]
-0.07926556,20190506,[-0.04385563]
0.37077962,20190401,[-0.03850646]
0.42894737,20190301,[-0.03586107]
0.76744186,20190201,[0.01147762]
0.21468927,20190102,[-0.01088178]
-0.05328099,20190603,[-0.01144555]
-0.11337643,20190506,[-0.01232138]
-0.15504202,20190401,[-0.034613]
0.16838488,20190301,[-0.01973757]
0.1210787,20190201,[-0.01124366]
-0.02259279,20190102,[-0.03190616]
0.152,20190201,[0.01475785]
-0.14821124,20190102,[-0.00193934]
-0.00209205,20190603,[-0.00872452]
-0.13873874,20190506,[-0.01221251]
-0.02631579,20190401,[-0.00970975]
0.019678,20190301,[-0.02712692]
0.31839623,20190201,[0.00716414]
-0.15369261,20190102,[-0.00834083]
0.06432247,20190603,[0.00697881]
-0.13049963,20190506,[-0.00303068]
-0.05496829,20190401,[-0.02951571]
0.47505198,20190301,[0.01829355]
0.11600928,20190201,[-0.0104308]
0.10371319,20190102,[-0.01535757]
-0.23425197,20190603,[-0.02950344]
-0.09123435,20190506,[-0.01357885]
-0.07755776,20190401,[-0.16710168]
0.23673469,20190301,[-0.03461046]
0.3960114,20190201,[0.02606673]
-0.04878049,20190102,[-0.01721691]
-0.05841924,20190603,[-0.02302944]
-0.04023747,20190506,[-0.02005314]
-0.11962834,20190401,[-0.03839037]
0.18125484,20190201,[-0.03561025]
0.16097122,20190102,[-0.02374557]
0.02218115,20190603,[-0.00755214]
-0.09682805,20190506,[-0.006226]
-0.14672365,20190401,[-0.00721138]
-0.04098361,20190301,[-0.02407778]
0.23025210000000002,20190201,[0.02010604]
0.27136752,20190102,[0.04056134]
-0.00692042,20190603,[-0.00285623]
-0.17112811,20190506,[-0.02091703]
0.05870445,20190401,[-0.01068213]
0.12656784,20190301,[-0.01758377]
0.10037641,20190201,[-0.0092219]
-0.01116625,20190102,[-0.01855919]
0.07417103,20190603,[-0.02784609]
-0.0230179,20190506,[-0.02276305]
-0.07052298,20190401,[-0.03215712]
0.06723044,20190301,[-0.03401235]
0.10514019,20190201,[-0.0255259]
0.09127996,20190102,[-0.02905825]
0.04565801,20190603,[-0.00663555]
-0.03290043,20190506,[-0.00920531]
