,ticker,date,actual,pred
10714,600416,20190102,0.02713178,0.005690801
3382,2093,20190102,-0.04526749,0.005647652
13565,600879,20190102,0.04621072,0.005469457
13526,600875,20190102,0.17363752,0.005307232
9254,600143,20190102,-0.07474747,0.004983326
3890,2212,20190102,0.16097122,0.004901935
15633,603486,20190102,0.01585922,0.004651771
7019,2821,20190102,0.04642594,0.004320028
363,66,20190102,0.13080169,0.003725563
10410,600350,20190102,-0.06578947,0.003431591
14125,601001,20190102,-0.02107728,0.003366412
15663,603515,20190102,-0.03946896,0.003292189
12061,600643,20190102,-0.02237927,0.003207001
5933,2500,20190102,0.01858108,0.00283808
9421,600161,20190102,-0.06588235,0.002579681
4880,2368,20190102,-0.03146552,0.002558333
11674,600580,20190102,0.02063492,0.002474865
15850,603766,20190102,0.08557457,0.002420952
15645,603501,20190102,-0.03776795,0.002397734
11791,600597,20190102,-0.01076555,0.002350553
10107,600312,20190102,0,0.002072155
11951,600639,20190102,0.0035524,0.00206058
11516,600563,20190102,0.06786901,0.001299291
10534,600380,20190102,-0.05247376,0.001118263
14088,601000,20190102,0.02521008,0.001051691
3480,2128,20190102,0.04189944,0.000994437
6965,2815,20190102,-0.10335387,0.000768151
13860,600967,20190102,-0.08173077,0.000766209
4210,2250,20190102,-0.00530223,0.000338617
1640,738,20190102,0.00829187,0.000182719
394,78,20190102,0.00671141,6.14E-05
1337,681,20190102,-0.01543739,2.66E-05
10585,600392,20190102,-0.02787456,-2.64E-05
12654,600757,20190102,-0.0107362,-5.06E-05
3204,2074,20190102,0.05363322,-0.000326388
15484,603355,20190102,-0.01395349,-0.000408751
1913,829,20190102,-0.17290553,-0.000447125
5291,2407,20190102,0.00091241,-0.000789105
14330,601106,20190102,0.01498127,-0.001272412
6722,2701,20190102,-0.02766798,-0.001639779
15110,601928,20190102,-0.01763224,-0.001683007
5040,2375,20190102,0.06746032,-0.001722794
15374,603225,20190102,-0.13226667,-0.001848879
10676,600410,20190102,-0.06825939,-0.002390512
13277,600845,20190102,0.20863309,-0.002484755
7126,2920,20190102,0.18731988,-0.002788856
9379,600160,20190102,0.07239819,-0.002902183
10257,600329,20190102,0.03215434,-0.003130845
3961,2221,20190102,-0.01116625,-0.003591185
5779,2465,20190102,-0.02051282,-0.00366889
3726,2176,20190102,-0.14821124,-0.003765277
11617,600572,20190102,-0.02192243,-0.003946572
16046,603877,20190102,-0.12187334,-0.004518756
12364,600729,20190102,-0.02826855,-0.004807451
10149,600315,20190102,0.04139194,-0.004940485
15695,603517,20190102,0.13470251,-0.005127451
4735,2344,20190102,-0.05934066,-0.005161564
15297,603056,20190102,-0.10090634,-0.005406287
5251,2405,20190102,0.17434444,-0.005471836
9490,600167,20190102,0.11504425,-0.005877144
10838,600428,20190102,0.00307692,-0.006251879
11145,600500,20190102,-0.00877193,-0.00640276
12281,600717,20190102,0.02545969,-0.006453629
11911,600633,20190102,-0.07239264,-0.006605512
11833,600598,20190102,-0.05257009,-0.006623366
9627,600195,20190102,-0.02067669,-0.006759311
3768,2183,20190102,-0.15369261,-0.006946
10544,600388,20190102,0.09064039,-0.006961822
2276,930,20190102,-0.12668464,-0.007031118
5474,2424,20190102,-0.06628571,-0.007131705
14364,601127,20190102,-0.05367561,-0.007487536
5971,2503,20190102,-0.11489362,-0.007699362
12404,600737,20190102,-0.05978261,-0.008451591
15269,603025,20190102,-0.08609865,-0.00858079
3301,2085,20190102,-0.07354839,-0.008683088
14205,601016,20190102,0.02586207,-0.008732091
12191,600694,20190102,0.02563043,-0.008948969
4086,2242,20190102,0.05434104,-0.009081584
1162,581,20190102,0.07134768,-0.009551411
2417,960,20190102,0.06813417,-0.009698837
12021,600642,20190102,0.03483607,-0.009764227
15722,603556,20190102,-0.05384615,-0.010338422
11715,600582,20190102,-0.01169591,-0.010623536
3443,2127,20190102,0.2287234,-0.010642291
5814,2470,20190102,0.07278481,-0.010679758
3690,2174,20190102,-0.02259279,-0.011066235
14232,601019,20190102,0.02429668,-0.011260121
15057,601872,20190102,0.12466125,-0.011447596
4293,2254,20190102,-0.03228782,-0.012189046
5618,2439,20190102,0.07003891,-0.012206363
123,27,20190102,-0.03428571,-0.01226304
8409,300450,20190102,0.03662751,-0.012274365
13403,600863,20190102,0.00865801,-0.012519672
3534,2131,20190102,-0.12244898,-0.012577703
13750,600901,20190102,-0.06260575,-0.013475607
11474,600557,20190102,0.09241245,-0.013843158
5528,2431,20190102,0.06722689,-0.013950558
2710,997,20190102,0.02459016,-0.014147432
4357,2268,20190102,0.20548712,-0.014263052
10038,600298,20190102,-0.03131193,-0.014591445
196,31,20190102,0.0102459,-0.014628601
16114,603885,20190102,-0.03431764,-0.014687872
5851,2482,20190102,-0.12953368,-0.014733179
3808,2191,20190102,0.10371319,-0.0147553
222,39,20190102,0.05293006,-0.01496449
11228,600511,20190102,-0.02193548,-0.015670629
3515,2129,20190102,0.16320885,-0.016229944
14537,601200,20190102,-0.02336096,-0.016722335
2181,883,20190102,0.01089918,-0.016826315
10215,600325,20190102,0.08870968,-0.016871396
6988,2818,20190102,0.04665705,-0.01707452
14399,601128,20190102,0.05863192,-0.017084165
14184,601005,20190102,0.0257732,-0.017211465
1105,563,20190102,0.01492537,-0.017347118
8573,600021,20190102,0.03209877,-0.019059727
3098,2051,20190102,0.01444043,-0.019177722
5368,2414,20190102,-0.02598608,-0.019934654
9906,600277,20190102,0.05830389,-0.020298455
12322,600718,20190102,-0.14458874,-0.020331629
12497,600748,20190102,0.0411985,-0.020429118
15789,603569,20190102,-0.03069767,-0.020467039
15564,603377,20190102,-0.02671233,-0.02096918
1139,564,20190102,0,-0.021615164
4399,2273,20190102,-0.04079498,-0.022498356
4963,2372,20190102,0.11411992,-0.022877205
15966,603866,20190102,0.0989814,-0.023858128
12718,600763,20190102,0.08299979,-0.023946222
13825,600917,20190102,-0.06882022,-0.024042338
14025,600985,20190102,0.00860215,-0.024536619
4460,2281,20190102,-0.03201787,-0.024721911
15448,603328,20190102,0.05959596,-0.025711956
14647,601326,20190102,-0.06050955,-0.026068578
15338,603198,20190102,0.02551382,-0.027666913
15398,603228,20190102,-0.01560312,-0.027761385
5082,2382,20190102,-0.07671602,-0.027960934
3649,2157,20190102,0.21468927,-0.028499296
10880,600458,20190102,0.01032448,-0.028569223
15751,603568,20190102,-0.11553611,-0.029177299
10957,600466,20190102,0.03159851,-0.029774906
9585,600183,20190102,0.01093439,-0.030773422
15604,603444,20190102,0.02695946,-0.031416558
11363,600528,20190102,0.02380952,-0.032593202
4502,2285,20190102,-0.05905512,-0.034254145
15892,603806,20190102,0.11380597,-0.034471225
4003,2223,20190102,0.09127996,-0.035440706
3849,2195,20190102,-0.04878049,-0.035558809
12169,600673,20190102,0.16071429,-0.039084073
3572,2152,20190102,-0.06238859,-0.039361596
12788,600777,20190102,0.06806283,-0.040727045
15833,603659,20190102,-0.02763713,-0.043382343
13770,600908,20190102,0.04007634,-0.044323485
6937,2812,20190102,-0.06132362,-0.045005202
5005,2373,20190102,0.13219424,-0.052421924
5238,2399,20190102,-0.12407809,-0.053097624
8330,300383,20190102,0.16732439,-0.056783982
